Rk,Player,Tm,Pos,From,To,Active,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,G,A,PTS,S,OPS,DPS,PS
15,Kailer Yamamoto\yamamka01,EDM,RW,2017,2018,1,9,0,3,3,-2,2,0,0,0,0,23,0.0,136,0.00,0.33,0.33,2.56,-0.1,0.1,0.0
16,Nail Yakupov\yakupna01,TOT,RW,2015,2018,3,114,15,24,39,-18,46,14,1,0,1,186,8.1,1456,0.13,0.21,0.34,1.63,1.8,1.0,2.8
17,Tyler Wotherspoon\wothety01,CGY,D,2015,2017,2,15,0,1,1,-2,0,0,0,0,0,13,0.0,199,0.00,0.07,0.07,0.87,-0.1,0.2,0.1
18,Brendan Woods\woodsbr01,CAR,LW,2015,2016,1,5,0,0,0,0,7,0,0,0,0,5,0.0,44,0.00,0.00,0.00,1.00,-0.1,0.1,-0.1
19,Miles Wood\woodmi01,NJD,LW,2015,2018,3,75,11,11,22,-20,105,9,2,0,0,134,8.2,946,0.15,0.15,0.29,1.79,1.0,0.5,1.4
20,Luke Witkowski\witkolu01,TOT,D/RW,2015,2018,3,44,0,4,4,-1,45,0,0,0,0,27,0.0,396,0.00,0.09,0.09,0.61,-0.1,0.8,0.7
21,James Wisniewski\wisnija01,CAR,D,2015,2016,1,1,0,0,0,0,0,0,0,0,0,0,,1,0.00,0.00,0.00,0.00,0.0,0.0,0.0
22,Daniel Winnik\winnida01,TOT,C/LW,2015,2018,3,163,20,29,49,20,93,18,0,2,3,199,10.1,2187,0.12,0.18,0.30,1.22,1.4,3.2,4.6
23,Tommy Wingels\wingeto01,TOT,C/RW,2015,2018,3,155,15,19,34,-24,102,14,1,0,2,211,7.1,1842,0.10,0.12,0.22,1.36,0.2,1.2,1.5
24,Tom Wilson\wilsoto01,WSH,RW,2015,2018,3,176,16,30,46,12,342,16,0,0,2,211,7.6,2284,0.09,0.17,0.26,1.20,0.4,2.8,3.2
25,Scott Wilson\wilsosc01,TOT,LW,2015,2018,3,114,13,19,32,-2,44,13,0,0,2,177,7.3,1210,0.11,0.17,0.28,1.55,1.6,0.9,2.5
26,Garrett Wilson\wilsoga01,FLA,LW,2015,2016,1,29,0,0,0,-3,24,0,0,0,0,28,0.0,272,0.00,0.00,0.00,0.97,-0.8,0.1,-0.6
27,Colin Wilson\wilsoco01,TOT,LW/C,2015,2018,3,142,18,43,61,5,34,11,7,0,0,232,7.8,2081,0.13,0.30,0.43,1.63,3.1,2.4,5.5
28,Justin Williams\williju01,TOT,RW,2015,2018,3,175,48,63,111,29,92,39,9,0,8,399,12.0,2828,0.27,0.36,0.63,2.28,9.6,4.1,13.7
29,Patrick Wiercioch\wiercpa01,TOT,D,2015,2017,2,109,4,13,17,-16,47,4,0,0,0,119,3.4,1852,0.04,0.12,0.16,1.09,0.0,2.4,2.4
30,Dennis Wideman\widemde01,CGY,D,2015,2017,2,108,7,30,37,-15,62,3,4,0,1,162,4.3,2204,0.06,0.28,0.34,1.50,2.0,3.3,5.3
