Rk,Player,Tm,Pos,From,To,Active,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,G,A,PTS,S,OPS,DPS,PS
156,Blake Speers\speerbl01,NJD,C,2016,2017,1,3,0,0,0,0,0,0,0,0,0,3,0.0,28,0.00,0.00,0.00,1.00,-0.1,0.0,0.0
157,Nick Spaling\spalini01,TOT,C,2015,2016,1,58,3,10,13,-2,24,3,0,0,0,53,5.7,828,0.05,0.17,0.22,0.91,-0.5,0.9,0.4
158,Nikita Soshnikov\soshnni01,TOR,RW,2015,2017,2,67,7,7,14,-3,22,6,1,0,0,103,6.8,779,0.10,0.10,0.21,1.54,0.2,0.7,0.8
159,Nick Sorensen\sorenni01,ANA,RW,2016,2017,1,5,0,1,1,-1,2,0,0,0,0,7,0.0,54,0.00,0.20,0.20,1.40,0.0,0.0,0.0
160,Marcus Sorensen\sorenma01,SJS,RW,2016,2017,1,19,1,3,4,-1,4,1,0,0,1,27,3.7,205,0.05,0.16,0.21,1.42,0.0,0.2,0.2
161,Carl Soderberg\soderca01,COL,C,2015,2018,3,175,20,51,71,-29,66,15,4,1,0,310,6.5,2752,0.11,0.29,0.41,1.77,2.3,2.2,4.5
162,Vladimir Sobotka\sobotvl01,STL,LW,2016,2018,2,18,4,7,11,2,16,4,0,0,1,28,14.3,317,0.22,0.39,0.61,1.56,0.6,0.4,1.0
163,Devante Smith-Pelly\smithde06,TOT,RW,2015,2018,3,133,20,20,40,-21,46,20,0,0,5,195,10.3,1710,0.15,0.15,0.30,1.47,1.8,1.4,3.2
164,Zack Smith\smithza01,OTT,C/LW,2015,2018,3,166,41,33,74,16,152,27,5,9,5,279,14.7,2648,0.25,0.20,0.45,1.68,5.6,3.3,8.9
165,Trevor Smith\smithtr01,NSH,C,2016,2017,1,1,0,0,0,0,0,0,0,0,0,0,,7,0.00,0.00,0.00,0.00,0.0,0.0,0.0
166,Reilly Smith\smithre01,TOT,RW,2015,2018,3,177,45,53,98,5,56,30,14,1,6,360,12.5,3273,0.25,0.30,0.55,2.03,6.8,4.0,10.8
167,Gemel Smith\smithge02,DAL,C,2016,2018,2,23,3,5,8,0,26,2,0,1,0,27,11.1,299,0.13,0.22,0.35,1.17,0.4,0.3,0.7
168,Craig Smith\smithcr01,NSH,RW,2015,2018,3,175,37,34,71,6,76,30,7,0,8,384,9.6,2535,0.21,0.19,0.41,2.19,5.1,3.1,8.2
169,C.J. Smith\smithcj01,BUF,LW,2016,2017,1,2,0,1,1,-1,0,0,0,0,0,2,0.0,23,0.00,0.50,0.50,1.00,0.0,0.0,0.0
170,Brendan Smith\smithbr05,TOT,D,2015,2018,3,125,6,20,26,4,133,4,2,0,1,155,3.9,2270,0.05,0.16,0.21,1.24,0.7,5.4,6.1
171,Ben Smith\smithbe01,TOT,RW,2015,2017,2,62,4,6,10,-5,4,4,0,0,1,47,8.5,725,0.06,0.10,0.16,0.76,-0.5,0.6,0.1
172,Ladislav Smid\smidla01,CGY,D,2015,2016,1,22,0,0,0,-7,6,0,0,0,0,11,0.0,255,0.00,0.00,0.00,0.50,-0.3,-0.1,-0.5
173,Anton Slepyshev\slepyan01,EDM,RW/LW,2015,2018,3,62,5,8,13,-1,6,5,0,0,0,73,6.8,662,0.08,0.13,0.21,1.18,0.1,0.7,0.8
174,Jaccob Slavin\slavija01,CAR,D,2015,2018,3,158,9,49,58,25,20,8,0,1,0,213,4.2,3557,0.06,0.31,0.37,1.35,2.9,11.2,14.2
175,Brady Skjei\skjeibr01,NYR,D,2015,2018,3,104,7,36,43,12,50,7,0,0,1,170,4.1,1849,0.07,0.35,0.41,1.63,3.2,4.3,7.4
176,Jeff Skinner\skinnje01,CAR,LW,2015,2018,3,174,72,51,123,-7,70,59,13,0,11,588,12.2,2966,0.41,0.29,0.71,3.38,13.3,3.7,17.0
177,Jack Skille\skillja01,TOT,RW,2015,2017,2,129,13,10,23,-4,23,13,0,0,0,179,7.3,1138,0.10,0.08,0.18,1.39,0.8,1.2,2.1
178,Colton Sissons\sissoco01,NSH,C,2015,2018,3,106,14,6,20,18,36,13,0,1,2,90,15.6,1220,0.13,0.06,0.19,0.85,0.4,2.1,2.5
179,Mike Sislo\sislomi01,NJD,RW,2015,2016,1,18,3,1,4,-2,4,2,1,0,0,29,10.3,224,0.17,0.06,0.22,1.61,0.2,0.3,0.4
180,Dillon Simpson\simpsdi01,EDM,D,2016,2017,1,3,0,0,0,0,2,0,0,0,0,2,0.0,33,0.00,0.00,0.00,0.67,0.0,0.1,0.0
181,Dominik Simon\simondo01,PIT,C,2015,2017,2,5,0,2,2,-1,0,0,0,0,0,4,0.0,44,0.00,0.40,0.40,0.80,0.1,0.0,0.1
182,Wayne Simmonds\simmowa01,PHI,RW,2015,2018,3,179,69,56,125,-24,284,35,32,2,13,489,14.1,3244,0.39,0.31,0.70,2.73,12.2,2.9,15.1
183,Zach Sill\sillza01,WSH,C,2015,2016,1,10,1,0,1,0,2,1,0,0,0,13,7.7,99,0.10,0.00,0.10,1.30,-0.1,0.1,0.1
184,Jakob Silfverberg\silfvja01,ANA,RW,2015,2018,3,177,47,49,96,14,56,38,8,1,7,496,9.5,3156,0.27,0.28,0.54,2.80,7.1,4.6,11.7
185,Duncan Siemens\siemedu01,COL,D,2016,2017,1,3,0,0,0,-2,2,0,0,0,0,2,0.0,37,0.00,0.00,0.00,0.67,0.0,-0.1,-0.1
186,Patrick Sieloff\sielopa01,CGY,D,2015,2016,1,1,1,0,1,1,2,1,0,0,1,1,100.0,18,1.00,0.00,1.00,1.00,0.2,0.1,0.3
187,Nick Shore\shoreni01,LAK,C,2015,2018,3,151,11,20,31,-16,56,10,0,1,3,184,6.0,1938,0.07,0.13,0.21,1.22,-0.8,1.8,1.0
188,Drew Shore\shoredr01,TOT,C,2015,2017,2,16,0,3,3,-3,6,0,0,0,0,14,0.0,196,0.00,0.19,0.19,0.88,-0.2,0.1,-0.1
189,Devin Shore\shorede01,DAL,C,2015,2018,3,100,13,27,40,-13,14,12,1,0,0,140,9.3,1451,0.13,0.27,0.40,1.40,1.7,1.1,2.8
190,Vadim Shipachyov\shipava01,VEG,LW,2017,2018,1,3,1,0,1,3,2,1,0,0,1,3,33.3,32,0.33,0.00,0.33,1.00,0.1,0.1,0.3
191,Hunter Shinkaruk\shinkhu01,TOT,C/LW,2015,2017,2,15,2,2,4,-7,4,1,1,0,0,17,11.8,194,0.13,0.13,0.27,1.13,0.1,-0.1,0.0
192,Conor Sheary\shearco01,PIT,LW,2015,2018,3,122,36,34,70,13,30,32,4,0,8,242,14.9,1644,0.30,0.28,0.57,1.98,7.0,2.1,9.0
193,Riley Sheahan\sheahri01,TOT,C,2015,2018,3,177,16,23,39,-38,30,11,4,1,2,251,6.4,2546,0.09,0.13,0.22,1.42,-0.9,1.6,0.6
194,Logan Shaw\shawlo01,TOT,RW,2015,2018,3,124,9,12,21,-4,25,7,1,1,2,159,5.7,1372,0.07,0.10,0.17,1.28,-0.5,1.3,0.8
195,Andrew Shaw\shawan01,TOT,RW/C,2015,2018,3,163,29,42,71,9,199,22,7,0,3,319,9.1,2458,0.18,0.26,0.44,1.96,4.2,3.2,7.4
196,Kevin Shattenkirk\shattke01,TOT,D,2015,2018,3,169,32,84,116,-26,120,16,16,0,4,375,8.5,3573,0.19,0.50,0.69,2.22,11.8,5.8,17.6
197,Patrick Sharp\sharppa01,TOT,LW,2015,2018,3,140,30,47,77,-32,60,21,8,1,6,406,7.4,2339,0.21,0.34,0.55,2.90,5.5,0.9,6.5
198,Michael Sgarbossa\sgarbmi01,TOT,C,2015,2017,2,39,2,7,9,-5,9,1,1,0,0,33,6.1,432,0.05,0.18,0.23,0.85,0.0,0.4,0.4
199,Damon Severson\severda01,NJD,D,2015,2018,3,166,5,51,56,-38,100,5,0,0,1,245,2.0,3214,0.03,0.31,0.34,1.48,2.8,5.3,8.1
200,Devin Setoguchi\setogde01,LAK,RW,2016,2017,1,45,4,8,12,-5,14,4,0,0,0,60,6.7,560,0.09,0.18,0.27,1.33,0.2,0.6,0.8
201,Tom Sestito\sestito01,PIT,LW,2015,2017,2,17,0,3,3,1,67,0,0,0,0,4,0.0,95,0.00,0.18,0.18,0.24,0.1,0.1,0.2
202,Mikhail Sergachev\sergami01,TOT,D,2016,2018,2,21,4,8,12,8,8,3,1,0,2,35,11.4,281,0.19,0.38,0.57,1.67,1.2,1.1,2.2
203,Alexander Semin\seminal01,MTL,LW,2015,2016,1,15,1,3,4,1,12,1,0,0,0,18,5.6,185,0.07,0.20,0.27,1.20,0.0,0.3,0.3
204,Eric Selleck\selleer01,ARI,RW,2015,2016,1,1,0,0,0,0,5,0,0,0,0,1,0.0,10,0.00,0.00,0.00,1.00,0.0,0.0,0.0
205,Andrej Sekera\sekeran01,EDM,D,2015,2017,2,161,14,51,65,-1,30,10,3,1,3,283,4.9,3487,0.09,0.32,0.40,1.76,4.5,7.5,12.0
206,Jiri Sekac\sekacji01,TOT,LW,2015,2016,1,39,1,5,6,-5,16,0,1,0,0,49,2.0,455,0.03,0.13,0.15,1.26,-0.5,0.4,-0.1
207,Dennis Seidenberg\seidede01,TOT,D,2015,2018,3,140,6,30,36,22,60,6,0,0,0,160,3.8,2714,0.04,0.21,0.26,1.14,1.3,6.6,7.9
208,Tyler Seguin\seguity01,DAL,C,2015,2018,3,169,67,93,160,-14,53,44,23,0,12,643,10.4,3219,0.40,0.55,0.95,3.80,16.3,2.7,19.0
209,Lukas Sedlak\sedlalu01,CBJ,LW,2016,2018,2,70,9,6,15,8,29,8,0,1,0,70,12.9,683,0.13,0.09,0.21,1.00,0.8,1.0,1.8
210,Henrik Sedin\sedinhe01,VAN,C,2015,2018,3,172,27,83,110,-29,58,20,6,1,4,206,13.1,3145,0.16,0.48,0.64,1.20,6.5,2.9,9.4
211,Daniel Sedin\sedinda01,VAN,LW,2015,2018,3,180,46,67,113,-11,72,31,15,0,10,508,9.1,3234,0.26,0.37,0.63,2.82,8.7,3.8,12.5
212,Brent Seabrook\seabrbr01,CHI,D,2015,2018,3,176,18,75,93,10,74,10,8,0,3,325,5.5,3932,0.10,0.43,0.53,1.85,7.4,8.8,16.2
213,Rob Scuderi\scudero01,TOT,D,2015,2016,1,63,0,10,10,7,10,0,0,0,0,35,0.0,996,0.00,0.16,0.16,0.56,-0.1,2.6,2.5
214,John Scott\scottjo01,TOT,LW,2015,2016,1,12,0,1,1,-1,27,0,0,0,0,6,0.0,78,0.00,0.08,0.08,0.50,-0.1,0.0,-0.1
215,Jaden Schwartz\schwaja01,STL,LW,2015,2018,3,128,36,62,98,36,30,30,6,0,7,282,12.8,2379,0.28,0.48,0.77,2.20,7.9,4.2,12.1
216,Nick Schultz\schulni01,PHI,D,2015,2017,2,109,1,13,14,0,52,1,0,0,0,95,1.1,1881,0.01,0.12,0.13,0.87,-0.7,4.2,3.5
217,Justin Schultz\schulju01,TOT,D,2015,2018,3,152,18,55,73,10,52,13,5,0,1,255,7.1,2964,0.12,0.36,0.48,1.68,6.3,6.1,12.4
218,Jeff Schultz\schulje02,LAK,D,2015,2016,1,1,0,0,0,-1,0,0,0,0,0,1,0.0,18,0.00,0.00,0.00,1.00,0.0,0.0,-0.1
219,Jordan Schroeder\schrojo01,MIN,C,2015,2017,2,63,8,9,17,7,2,8,0,0,0,67,11.9,607,0.13,0.14,0.27,1.06,1.1,0.9,2.0
220,Cole Schneider\schneco02,BUF,LW,2015,2017,2,6,0,1,1,2,0,0,0,0,0,11,0.0,54,0.00,0.17,0.17,1.83,0.0,0.2,0.1
221,Nate Schmidt\schmina01,TOT,D,2015,2018,3,147,6,35,41,36,36,6,0,0,1,162,3.7,2567,0.04,0.24,0.28,1.10,1.9,8.0,9.9
222,Nick Schmaltz\schmani01,CHI,LW,2016,2018,2,73,9,24,33,13,8,9,0,0,0,82,11.0,1003,0.12,0.33,0.45,1.12,1.7,1.5,3.3
223,Jordan Schmaltz\schmajo01,STL,D,2016,2017,1,9,0,2,2,0,4,0,0,0,0,5,0.0,129,0.00,0.22,0.22,0.56,0.1,0.3,0.4
224,David Schlemko\schleda01,TOT,D,2015,2017,2,129,8,29,37,-18,30,6,2,0,4,222,3.6,2288,0.06,0.22,0.29,1.72,2.2,4.6,6.7
225,Nikita Scherbak\scherni01,MTL,RW,2016,2018,2,5,1,0,1,1,0,0,1,0,0,3,33.3,50,0.20,0.00,0.20,0.60,0.1,0.1,0.2
226,Luke Schenn\schenlu01,TOT,D,2015,2018,3,168,5,21,26,-16,181,4,1,0,0,186,2.7,2953,0.03,0.13,0.15,1.11,-0.3,5.4,5.1
227,Brayden Schenn\schenbr01,TOT,C,2015,2018,3,176,55,78,133,4,89,26,29,0,14,401,13.7,3093,0.31,0.44,0.76,2.28,11.9,3.8,15.7
228,Mark Scheifele\scheima01,WPG,C,2015,2018,3,164,70,91,161,43,86,52,17,1,8,382,18.3,3245,0.43,0.55,0.98,2.33,16.6,4.9,21.5
229,Tim Schaller\schalti01,TOT,C,2015,2018,3,90,11,12,23,-5,32,10,0,1,3,131,8.4,1070,0.12,0.13,0.26,1.46,0.7,1.2,2.0
230,Colton Sceviour\scevico01,TOT,C/RW,2015,2018,3,159,23,28,51,-11,50,18,2,3,2,312,7.4,2161,0.14,0.18,0.32,1.96,2.2,1.9,4.1
231,Marco Scandella\scandma01,TOT,D,2015,2018,3,159,9,28,37,1,53,7,2,0,0,247,3.6,3165,0.06,0.18,0.23,1.55,1.2,6.7,7.9
232,Luca Sbisa\sbisalu01,TOT,D,2015,2018,3,138,4,23,27,5,72,4,0,0,2,117,3.4,2573,0.03,0.17,0.20,0.85,0.2,6.9,7.1
233,David Savard\savarda01,CBJ,D,2015,2018,3,155,12,41,53,25,99,11,1,0,0,290,4.1,3441,0.08,0.26,0.34,1.87,3.0,8.7,11.7
234,Mike Santorelli\santomi01,ANA,C,2015,2016,1,70,9,9,18,-4,8,8,1,0,1,81,11.1,706,0.13,0.13,0.26,1.16,1.1,0.8,1.9
235,Steven Santini\santist01,NJD,D,2015,2018,3,52,2,8,10,-7,26,2,0,0,0,74,2.7,893,0.04,0.15,0.19,1.42,0.2,1.5,1.7
236,Travis Sanheim\sanhetr01,PHI,D,2017,2018,1,13,0,2,2,-4,8,0,0,0,0,26,0.0,208,0.00,0.15,0.15,2.00,-0.1,0.1,0.0
237,Zachary Sanford\sanfoza01,TOT,LW,2016,2017,1,39,4,4,8,2,10,4,0,0,2,36,11.1,423,0.10,0.10,0.21,0.92,0.1,0.5,0.7
238,Philip Samuelsson\samueph01,ARI,D,2015,2016,1,4,0,0,0,0,2,0,0,0,0,5,0.0,64,0.00,0.00,0.00,1.25,-0.1,0.1,0.0
239,Miikka Salomaki\salommi01,NSH,RW,2015,2018,3,77,6,7,13,-4,42,6,0,0,1,81,7.4,927,0.08,0.09,0.17,1.05,-0.5,0.9,0.4
240,Brandon Saad\saadbr01,TOT,LW,2015,2018,3,176,61,54,115,28,22,53,8,0,15,497,12.3,3045,0.35,0.31,0.65,2.82,11.2,4.4,15.6
241,Kerby Rychel\rycheke01,CBJ,LW,2015,2016,1,32,2,7,9,5,15,2,0,0,0,32,6.3,304,0.06,0.22,0.28,1.00,0.4,0.5,0.9
242,Joakim Ryan\ryanjo02,SJS,D,2017,2018,1,12,0,1,1,-3,4,0,0,0,0,18,0.0,218,0.00,0.08,0.08,1.50,-0.2,0.5,0.3
243,Derek Ryan\ryande01,CAR,C,2015,2018,3,86,16,20,36,-11,26,9,6,1,4,99,16.2,1287,0.19,0.23,0.42,1.15,2.1,1.2,3.3
244,Bobby Ryan\ryanbo01,OTT,RW,2015,2018,3,151,35,52,87,-4,54,27,8,0,2,306,11.4,2485,0.23,0.34,0.58,2.03,7.0,2.2,9.1
245,Tuomo Ruutu\ruututu01,NJD,LW,2015,2016,1,33,0,1,1,-7,8,0,0,0,0,34,0.0,380,0.00,0.03,0.03,1.03,-0.9,0.3,-0.7
246,Jan Rutta\ruttaja02,CHI,D,2017,2018,1,16,2,4,6,4,12,2,0,0,0,21,9.5,310,0.13,0.25,0.38,1.31,0.4,1.1,1.5
247,Bryan Rust\rustbr01,PIT,RW,2015,2018,3,115,20,28,48,-1,28,19,1,0,2,207,9.7,1575,0.17,0.24,0.42,1.80,3.0,1.5,4.5
248,Robbie Russo\russoro01,DET,D,2016,2017,1,19,0,0,0,2,2,0,0,0,0,18,0.0,305,0.00,0.00,0.00,0.95,-0.4,0.9,0.5
249,Kris Russell\russekr01,TOT,D,2015,2018,3,145,6,31,37,1,35,4,2,0,2,151,4.0,3138,0.04,0.21,0.26,1.04,0.8,6.1,6.9
250,David Rundblad\rundbda01,CHI,D,2015,2016,1,9,0,2,2,-2,6,0,0,0,0,13,0.0,129,0.00,0.22,0.22,1.44,0.1,0.1,0.2
251,Chad Ruhwedel\ruhwech01,TOT,D,2015,2018,3,49,2,9,11,8,16,2,0,0,0,66,3.0,829,0.04,0.18,0.22,1.35,0.4,2.2,2.6
252,Michal Rozsival\rozsimi01,CHI,D,2015,2017,2,73,2,14,16,0,47,2,0,0,1,57,3.5,1165,0.03,0.19,0.22,0.78,0.6,2.4,2.9
253,Kevin Roy\royke01,ANA,LW,2017,2018,1,1,0,0,0,0,0,0,0,0,0,1,0.0,8,0.00,0.00,0.00,1.00,0.0,0.0,0.0
254,Carter Rowney\rowneca01,PIT,RW,2016,2018,2,36,4,5,9,0,6,4,0,0,1,29,13.8,394,0.11,0.14,0.25,0.81,0.3,0.4,0.7
255,Antoine Roussel\roussan01,DAL,LW,2015,2018,3,155,26,33,59,12,264,26,0,0,9,207,12.6,2217,0.17,0.21,0.38,1.34,3.3,2.7,6.0
256,Jack Roslovic\rosloja01,WPG,C,2016,2017,1,1,0,0,0,-1,0,0,0,0,0,1,0.0,8,0.00,0.00,0.00,1.00,0.0,0.0,-0.1
257,Calle Rosen\rosenca01,TOR,D,2017,2018,1,4,0,1,1,-3,4,0,0,0,0,5,0.0,51,0.00,0.25,0.25,1.25,0.0,-0.1,-0.1
258,Kevin Rooney\rooneke01,NJD,C,2016,2017,1,4,0,0,0,-3,4,0,0,0,0,2,0.0,41,0.00,0.00,0.00,0.50,-0.1,-0.1,-0.2
259,Evan Rodrigues\rodriev01,BUF,C/LW,2015,2017,2,32,5,3,8,-5,4,4,1,0,0,59,8.5,411,0.16,0.09,0.25,1.84,0.3,0.3,0.6
260,Anton Rodin\rodinan01,VAN,RW,2016,2017,1,3,0,1,1,1,0,0,0,0,0,2,0.0,27,0.00,0.33,0.33,0.67,0.0,0.1,0.1
261,Jack Rodewald\rodewja01,OTT,RW,2017,2018,1,4,0,0,0,-1,2,0,0,0,0,0,,29,0.00,0.00,0.00,0.00,-0.1,0.0,-0.1
262,Buddy Robinson\robinbu01,OTT,RW,2015,2017,2,7,1,1,2,2,6,1,0,0,1,9,11.1,54,0.14,0.14,0.29,1.29,0.2,0.1,0.3
263,Nick Ritchie\ritchni01,ANA,LW,2015,2018,3,123,17,19,36,-4,127,15,2,0,4,226,7.5,1568,0.14,0.15,0.29,1.84,1.5,1.8,3.3
264,Brett Ritchie\ritchbr01,DAL,RW,2015,2018,3,98,17,10,27,6,55,16,1,0,2,197,8.6,1243,0.17,0.10,0.28,2.01,1.4,1.6,2.9
265,Rasmus Ristolainen\ristora01,BUF,D,2015,2018,3,174,15,76,91,-34,95,10,5,0,3,420,3.6,4517,0.09,0.44,0.52,2.41,6.3,8.5,14.9
266,Zac Rinaldo\rinalza01,TOT,C/LW,2015,2018,2,65,2,2,4,-9,89,2,0,0,0,51,3.9,570,0.03,0.03,0.06,0.78,-0.9,0.3,-0.7
267,Morgan Rielly\riellmo01,TOR,D,2015,2018,3,175,17,59,76,-37,53,12,4,1,1,379,4.5,3946,0.10,0.34,0.43,2.17,5.3,4.8,10.1
268,Tobias Rieder\riedeto01,ARI,RW,2015,2018,3,180,33,43,76,-34,18,28,4,1,2,367,9.0,3087,0.18,0.24,0.42,2.04,3.5,2.2,5.6
269,Brad Richardson\richabr02,ARI,RW/C,2015,2018,3,114,16,27,43,-1,67,14,0,2,3,168,9.5,1750,0.14,0.24,0.38,1.47,1.7,2.0,3.7
270,Mike Richards\richami02,WSH,C,2015,2016,1,39,2,3,5,-2,8,2,0,0,1,46,4.3,475,0.05,0.08,0.13,1.18,-0.5,0.4,-0.1
271,Brad Richards\richabr01,DET,C,2015,2016,1,68,10,18,28,4,8,6,4,0,1,164,6.1,1006,0.15,0.26,0.41,2.41,1.5,1.3,2.8
272,Tanner Richard\richata01,TBL,C,2016,2017,1,3,0,0,0,-2,2,0,0,0,0,1,0.0,38,0.00,0.00,0.00,0.33,-0.1,0.0,-0.1
273,Mike Ribeiro\ribeimi01,NSH,C,2015,2017,2,127,11,64,75,6,76,7,4,0,0,114,9.6,2148,0.09,0.50,0.59,0.90,3.8,2.6,6.4
274,Dan Renouf\renouda01,DET,D,2016,2017,1,1,0,0,0,0,0,0,0,0,0,1,0.0,14,0.00,0.00,0.00,1.00,0.0,0.0,0.0
275,Borna Rendulic\rendubo01,TOT,RW,2015,2017,2,4,0,0,0,-2,0,0,0,0,0,2,0.0,27,0.00,0.00,0.00,0.50,-0.1,-0.1,-0.1
276,Sam Reinhart\reinhsa01,BUF,C,2015,2018,3,173,42,52,94,-27,18,24,18,0,7,365,11.5,2926,0.24,0.30,0.54,2.11,7.2,2.8,9.9
277,Griffin Reinhart\reinhgr01,EDM,D,2015,2016,1,29,0,1,1,-6,20,0,0,0,0,24,0.0,524,0.00,0.03,0.03,0.83,-0.5,0.7,0.2
278,Mike Reilly\reillmi01,MIN,D,2015,2018,3,58,2,11,13,-4,16,2,0,0,0,60,3.3,715,0.03,0.19,0.22,1.03,0.7,1.2,1.9
279,Brent Regner\regnebr01,FLA,D,2015,2016,1,7,0,0,0,-2,4,0,0,0,0,7,0.0,81,0.00,0.00,0.00,1.00,-0.1,0.0,-0.1
280,Zach Redmond\redmoza01,TOT,D,2015,2018,3,56,2,9,11,12,14,1,1,0,0,41,4.9,676,0.04,0.16,0.20,0.73,0.6,2.5,3.1
281,Ryan Reaves\reavery01,TOT,RW,2015,2018,3,161,11,9,20,-5,231,11,0,0,1,103,10.7,1349,0.07,0.06,0.12,0.64,-0.4,1.5,1.1
282,Matt Read\readma01,PHI,RW,2015,2018,3,146,21,24,45,-1,35,16,4,1,4,220,9.5,2118,0.14,0.16,0.31,1.51,1.4,2.5,3.9
283,Mason Raymond\raymoma01,TOT,LW,2015,2017,2,33,4,1,5,-5,8,4,0,0,0,56,7.1,394,0.12,0.03,0.15,1.70,-0.1,0.2,0.1
284,Kyle Rau\rauky01,FLA,C,2015,2017,2,33,2,1,3,-4,6,2,0,0,0,36,5.6,344,0.06,0.03,0.09,1.09,-0.4,0.3,-0.2
285,Ty Rattie\rattity01,TOT,RW,2015,2017,2,22,4,4,8,-1,4,4,0,0,0,26,15.4,217,0.18,0.18,0.36,1.18,0.7,0.2,1.0
286,Dennis Rasmussen\rasmude01,TOT,C,2015,2018,3,126,9,10,19,7,22,9,0,0,1,132,6.8,1335,0.07,0.08,0.15,1.05,-0.7,1.6,1.0
287,Victor Rask\raskvi01,CAR,C,2015,2018,3,175,40,58,98,-15,40,31,9,0,9,371,10.8,2985,0.23,0.33,0.56,2.12,7.0,3.4,10.3
288,Mikko Rantanen\rantami01,COL,RW,2015,2018,3,98,25,25,50,-38,28,17,8,0,2,176,14.2,1686,0.26,0.26,0.51,1.80,3.4,0.6,4.0
289,Tyler Randell\randety01,BOS,RW,2015,2016,1,27,6,0,6,-2,47,6,0,0,1,18,33.3,189,0.22,0.00,0.22,0.67,0.8,0.1,0.9
290,John Ramage\ramagjo01,CBJ,D,2015,2016,1,1,0,0,0,-2,0,0,0,0,0,0,,14,0.00,0.00,0.00,0.00,0.0,-0.1,-0.2
291,Rickard Rakell\rakelri01,ANA,C,2015,2018,3,159,59,49,108,7,41,49,10,0,18,390,15.1,2719,0.37,0.31,0.68,2.45,10.9,3.7,14.6
292,Michael Raffl\rafflmi01,PHI,LW,2015,2018,3,150,21,21,42,3,52,20,1,0,7,207,10.1,2027,0.14,0.14,0.28,1.38,1.3,2.5,3.8
293,Alexander Radulov\radulal01,TOT,RW,2016,2018,2,91,23,44,67,7,74,15,8,0,4,183,12.6,1684,0.25,0.48,0.74,2.01,5.1,2.4,7.4
294,Alan Quine\quineal01,NYI,C,2015,2017,2,63,6,13,19,-2,8,3,2,1,1,87,6.9,799,0.10,0.21,0.30,1.38,0.6,0.7,1.2
295,Kyle Quincey\quincky01,TOT,D,2015,2018,3,132,10,19,29,7,93,10,0,0,2,149,6.7,2416,0.08,0.14,0.22,1.13,1.3,6.3,7.6
296,John Quenneville\quennjo02,NJD,C,2016,2017,1,12,1,3,4,1,2,0,1,0,0,21,4.8,164,0.08,0.25,0.33,1.75,0.1,0.3,0.4
297,Mark Pysyk\pysykma01,TOT,D,2015,2018,3,151,7,24,31,-8,44,7,0,0,0,147,4.8,2655,0.05,0.16,0.21,0.97,0.9,5.7,6.6
298,Tom Pyatt\pyattto01,OTT,LW,2016,2018,2,96,12,19,31,8,16,12,0,0,2,117,10.3,1484,0.13,0.20,0.32,1.22,0.5,2.0,2.4
299,Teddy Purcell\purcete01,TOT,RW/LW,2015,2017,2,88,14,31,45,-11,12,12,2,0,2,159,8.8,1434,0.16,0.35,0.51,1.81,2.6,1.3,3.9
300,Ryan Pulock\pulocry01,NYI,D,2015,2018,3,23,3,4,7,2,7,2,1,0,0,29,10.3,342,0.13,0.17,0.30,1.26,0.6,0.8,1.5
301,Teemu Pulkkinen\pulkkte01,TOT,LW,2015,2017,2,49,8,6,14,0,20,7,1,0,1,75,10.7,540,0.16,0.12,0.29,1.53,1.0,0.6,1.6
302,Jesse Puljujarvi\puljuje01,EDM,RW,2016,2017,1,28,1,7,8,5,10,0,1,0,0,41,2.4,315,0.04,0.25,0.29,1.46,0.1,0.6,0.7
303,Matt Puempel\puempma01,TOT,LW,2015,2017,2,66,8,4,12,-14,20,5,3,0,2,70,11.4,681,0.12,0.06,0.18,1.06,0.3,0.0,0.4
304,Brandon Prust\prustbr01,VAN,LW,2015,2016,1,35,1,6,7,-3,59,1,0,0,1,19,5.3,447,0.03,0.17,0.20,0.54,-0.4,0.4,0.1
305,Ivan Provorov\provoiv01,PHI,D,2016,2018,2,98,8,30,38,-6,40,8,0,0,1,199,4.0,2198,0.08,0.31,0.39,2.03,2.2,4.8,7.0
306,Dalton Prout\proutda01,TOT,D,2015,2018,3,97,3,12,15,-9,159,3,0,0,0,87,3.4,1496,0.03,0.12,0.15,0.90,0.2,2.3,2.5
307,Nate Prosser\prossna01,TOT,D,2015,2018,3,94,2,8,10,1,51,2,0,0,0,40,5.0,1127,0.02,0.09,0.11,0.43,-0.1,2.4,2.3
308,Shane Prince\princsh01,TOT,LW,2015,2017,2,112,11,24,35,-4,28,10,1,0,3,159,6.9,1345,0.10,0.21,0.31,1.42,1.5,1.1,2.6
309,Derrick Pouliot\poulide01,TOT,D,2015,2018,3,46,0,10,10,3,12,0,0,0,0,55,0.0,717,0.00,0.22,0.22,1.20,0.2,1.5,1.7
310,Benoit Pouliot\poulibe01,TOT,LW,2015,2018,3,137,27,30,57,-11,66,21,5,1,4,208,13.0,2035,0.20,0.22,0.42,1.52,3.6,2.0,5.6
311,Andrew Poturalski\poturan01,CAR,C,2016,2017,1,2,0,0,0,-3,0,0,0,0,0,1,0.0,25,0.00,0.00,0.00,0.50,-0.1,-0.1,-0.2
312,Corey Potter\potteco01,NSH,D,2015,2016,1,1,0,0,0,0,0,0,0,0,0,0,,15,0.00,0.00,0.00,0.00,0.0,0.0,0.0
